==== START logs for container controller of pod ingress-nginx/ingress-controller-ingress-nginx-controller-585d79996-9ncg7 ====
-------------------------------------------------------------------------------
NGINX Ingress controller
  Release:       1.1.1-20220413170248-b60724ed1
I0714 00:27:33.841771       8 store.go:566] "Secret was added and it is used in ingress annotations. Parsing" secret="verrazzano-system/system-tls-kiali"
I0714 00:27:33.844053       8 backend_ssl.go:65] "Adding secret to local store" name="verrazzano-system/system-tls-kiali"
W0714 00:27:35.556047       8 controller.go:1083] Service "cattle-system/rancher" does not have any active Endpoint.
I0714 00:27:35.557147       8 controller.go:155] "Configuration changes detected, backend reload required"
I0714 00:27:35.696532       8 controller.go:172] "Backend successfully reloaded"
I0714 00:27:35.696707       8 event.go:282] Event(v1.ObjectReference{Kind:"Pod", Namespace:"ingress-nginx", Name:"ingress-controller-ingress-nginx-controller-585d79996-9ncg7", UID:"390858b7-d34c-4f8c-bad7-96ee5fc4dee3", APIVersion:"v1", ResourceVersion:"20236645", FieldPath:""}): type: 'Normal' reason: 'RELOAD' NGINX reload triggered due to a change in configuration
W0714 00:27:38.889928       8 controller.go:1083] Service "cattle-system/rancher" does not have any active Endpoint.
I0714 00:27:46.009899       8 status.go:299] "updating Ingress status" namespace="verrazzano-system" ingress="verrazzano-ingress" currentValue=[] newValue=[{IP:138.3.78.28 Hostname: Ports:[]}]
I0714 00:27:46.012481       8 status.go:299] "updating Ingress status" namespace="verrazzano-system" ingress="vmi-system-kibana" currentValue=[] newValue=[{IP:138.3.78.28 Hostname: Ports:[]}]
I0714 00:27:46.012509       8 status.go:299] "updating Ingress status" namespace="cattle-system" ingress="rancher" currentValue=[] newValue=[{IP:138.3.78.28 Hostname: Ports:[]}]
I0714 00:27:46.012612       8 status.go:299] "updating Ingress status" namespace="keycloak" ingress="keycloak" currentValue=[] newValue=[{IP:138.3.78.28 Hostname: Ports:[]}]
I0714 00:27:46.012485       8 status.go:299] "updating Ingress status" namespace="verrazzano-system" ingress="vmi-system-es-ingest" currentValue=[] newValue=[{IP:138.3.78.28 Hostname: Ports:[]}]
I0714 00:27:46.012765       8 status.go:299] "updating Ingress status" namespace="verrazzano-system" ingress="vmi-system-kiali" currentValue=[] newValue=[{IP:138.3.78.28 Hostname: Ports:[]}]
I0714 00:27:46.012984       8 status.go:299] "updating Ingress status" namespace="verrazzano-system" ingress="vmi-system-grafana" currentValue=[] newValue=[{IP:138.3.78.28 Hostname: Ports:[]}]
I0714 00:27:46.013159       8 status.go:299] "updating Ingress status" namespace="verrazzano-system" ingress="vmi-system-prometheus" currentValue=[] newValue=[{IP:138.3.78.28 Hostname: Ports:[]}]
I0714 00:27:46.022689       8 event.go:282] Event(v1.ObjectReference{Kind:"Ingress", Namespace:"verrazzano-system", Name:"verrazzano-ingress", UID:"f0830166-a9bc-4ac8-a77c-ecee88c6cc0f", APIVersion:"networking.k8s.io/v1", ResourceVersion:"20238545", FieldPath:""}): type: 'Normal' reason: 'Sync' Scheduled for sync
W0714 00:27:46.024251       8 controller.go:1083] Service "cattle-system/rancher" does not have any active Endpoint.
I0714 00:27:46.024745       8 event.go:282] Event(v1.ObjectReference{Kind:"Ingress", Namespace:"cattle-system", Name:"rancher", UID:"7d285699-9c85-472e-badc-3ab033d045e8", APIVersion:"networking.k8s.io/v1", ResourceVersion:"20238546", FieldPath:""}): type: 'Normal' reason: 'Sync' Scheduled for sync
I0714 00:27:46.211534       8 event.go:282] Event(v1.ObjectReference{Kind:"Ingress", Namespace:"verrazzano-system", Name:"vmi-system-kibana", UID:"1512e3b9-ac9f-4594-9e6f-2daebda504b3", APIVersion:"networking.k8s.io/v1", ResourceVersion:"20238552", FieldPath:""}): type: 'Normal' reason: 'Sync' Scheduled for sync
I0714 00:27:46.414885       8 event.go:282] Event(v1.ObjectReference{Kind:"Ingress", Namespace:"keycloak", Name:"keycloak", UID:"c249df15-b1a0-4c7b-a144-3ae059e6f61c", APIVersion:"networking.k8s.io/v1", ResourceVersion:"20238559", FieldPath:""}): type: 'Normal' reason: 'Sync' Scheduled for sync
I0714 00:27:46.614169       8 event.go:282] Event(v1.ObjectReference{Kind:"Ingress", Namespace:"verrazzano-system", Name:"vmi-system-es-ingest", UID:"763dc1a2-0e9c-473a-8d1f-0983c04a622d", APIVersion:"networking.k8s.io/v1", ResourceVersion:"20238566", FieldPath:""}): type: 'Normal' reason: 'Sync' Scheduled for sync
I0714 00:27:46.811146       8 event.go:282] Event(v1.ObjectReference{Kind:"Ingress", Namespace:"verrazzano-system", Name:"vmi-system-kiali", UID:"497d73b7-a573-4ac5-8fc8-84c78b7aabfb", APIVersion:"networking.k8s.io/v1", ResourceVersion:"20238572", FieldPath:""}): type: 'Normal' reason: 'Sync' Scheduled for sync
I0714 00:27:47.013245       8 event.go:282] Event(v1.ObjectReference{Kind:"Ingress", Namespace:"verrazzano-system", Name:"vmi-system-grafana", UID:"eb2a8008-4f5d-458c-9afb-10a490649f50", APIVersion:"networking.k8s.io/v1", ResourceVersion:"20238576", FieldPath:""}): type: 'Normal' reason: 'Sync' Scheduled for sync
I0714 00:27:47.198726       8 request.go:665] Waited for 1.185369109s due to client-side throttling, not priority and fairness, request: PUT:https://10.96.0.1:443/apis/networking.k8s.io/v1/namespaces/verrazzano-system/ingresses/vmi-system-prometheus/status
I0714 00:27:47.212627       8 event.go:282] Event(v1.ObjectReference{Kind:"Ingress", Namespace:"verrazzano-system", Name:"vmi-system-prometheus", UID:"966d4614-4db2-4132-9275-9e35a9a9bc5b", APIVersion:"networking.k8s.io/v1", ResourceVersion:"20238578", FieldPath:""}): type: 'Normal' reason: 'Sync' Scheduled for sync
W0714 00:27:49.358019       8 controller.go:1083] Service "cattle-system/rancher" does not have any active Endpoint.
W0714 00:27:52.691529       8 controller.go:1083] Service "cattle-system/rancher" does not have any active Endpoint.
W0714 00:28:38.897754       8 controller.go:1083] Service "cattle-system/rancher" does not have any active Endpoint.
W0714 00:28:42.231372       8 controller.go:1083] Service "cattle-system/rancher" does not have any active Endpoint.
W0714 00:28:55.554287       8 controller.go:1083] Service "cattle-system/rancher" does not have any active Endpoint.
W0714 00:29:02.983770       8 controller.go:1083] Service "cattle-system/rancher" does not have any active Endpoint.
W0714 00:29:10.689985       8 controller.go:1083] Service "cattle-system/rancher" does not have any active Endpoint.
W0714 00:29:18.778903       8 controller.go:1083] Service "cattle-system/rancher" does not have any active Endpoint.
W0714 00:29:22.113266       8 controller.go:1083] Service "cattle-system/rancher" does not have any active Endpoint.
W0714 00:29:25.446205       8 controller.go:1083] Service "cattle-system/rancher" does not have any active Endpoint.
W0714 00:29:36.548004       8 controller.go:1083] Service "cattle-system/rancher" does not have any active Endpoint.
W0714 00:29:51.505573       8 controller.go:1083] Service "cattle-system/rancher" does not have any active Endpoint.
W0714 00:29:54.839507       8 controller.go:1083] Service "cattle-system/rancher" does not have any active Endpoint.
W0714 00:29:58.172289       8 controller.go:1083] Service "cattle-system/rancher" does not have any active Endpoint.
W0714 00:30:01.505864       8 controller.go:1083] Service "cattle-system/rancher" does not have any active Endpoint.
I0714 00:30:03.990475       8 event.go:282] Event(v1.ObjectReference{Kind:"Ingress", Namespace:"keycloak", Name:"keycloak", UID:"c249df15-b1a0-4c7b-a144-3ae059e6f61c", APIVersion:"networking.k8s.io/v1", ResourceVersion:"20240261", FieldPath:""}): type: 'Normal' reason: 'Sync' Scheduled for sync
I0714 00:30:04.014689       8 event.go:282] Event(v1.ObjectReference{Kind:"Ingress", Namespace:"cattle-system", Name:"rancher", UID:"7d285699-9c85-472e-badc-3ab033d045e8", APIVersion:"networking.k8s.io/v1", ResourceVersion:"20240263", FieldPath:""}): type: 'Normal' reason: 'Sync' Scheduled for sync
I0714 00:30:04.048554       8 event.go:282] Event(v1.ObjectReference{Kind:"Ingress", Namespace:"verrazzano-system", Name:"vmi-system-prometheus", UID:"966d4614-4db2-4132-9275-9e35a9a9bc5b", APIVersion:"networking.k8s.io/v1", ResourceVersion:"20240264", FieldPath:""}): type: 'Normal' reason: 'Sync' Scheduled for sync
I0714 00:30:04.082129       8 event.go:282] Event(v1.ObjectReference{Kind:"Ingress", Namespace:"verrazzano-system", Name:"vmi-system-kiali", UID:"497d73b7-a573-4ac5-8fc8-84c78b7aabfb", APIVersion:"networking.k8s.io/v1", ResourceVersion:"20240269", FieldPath:""}): type: 'Normal' reason: 'Sync' Scheduled for sync
I0714 00:30:04.111486       8 event.go:282] Event(v1.ObjectReference{Kind:"Ingress", Namespace:"verrazzano-system", Name:"vmi-system-kibana", UID:"1512e3b9-ac9f-4594-9e6f-2daebda504b3", APIVersion:"networking.k8s.io/v1", ResourceVersion:"20240271", FieldPath:""}): type: 'Normal' reason: 'Sync' Scheduled for sync
I0714 00:30:04.137243       8 event.go:282] Event(v1.ObjectReference{Kind:"Ingress", Namespace:"verrazzano-system", Name:"vmi-system-grafana", UID:"eb2a8008-4f5d-458c-9afb-10a490649f50", APIVersion:"networking.k8s.io/v1", ResourceVersion:"20240272", FieldPath:""}): type: 'Normal' reason: 'Sync' Scheduled for sync
I0714 00:30:04.312314       8 event.go:282] Event(v1.ObjectReference{Kind:"Ingress", Namespace:"verrazzano-system", Name:"vmi-system-es-ingest", UID:"763dc1a2-0e9c-473a-8d1f-0983c04a622d", APIVersion:"networking.k8s.io/v1", ResourceVersion:"20240273", FieldPath:""}): type: 'Normal' reason: 'Sync' Scheduled for sync
I0714 00:30:04.742599       8 event.go:282] Event(v1.ObjectReference{Kind:"Ingress", Namespace:"verrazzano-system", Name:"verrazzano-ingress", UID:"f0830166-a9bc-4ac8-a77c-ecee88c6cc0f", APIVersion:"networking.k8s.io/v1", ResourceVersion:"20240274", FieldPath:""}): type: 'Normal' reason: 'Sync' Scheduled for sync
W0714 00:30:04.839933       8 controller.go:1083] Service "cattle-system/rancher" does not have any active Endpoint.
I0714 00:31:13.088520       8 store.go:597] "secret was updated and it is used in ingress annotations. Parsing" secret="cattle-system/tls-rancher-ingress"
I0714 00:31:46.597313       8 event.go:282] Event(v1.ObjectReference{Kind:"Ingress", Namespace:"keycloak", Name:"keycloak", UID:"c249df15-b1a0-4c7b-a144-3ae059e6f61c", APIVersion:"networking.k8s.io/v1", ResourceVersion:"20242629", FieldPath:""}): type: 'Normal' reason: 'Sync' Scheduled for sync
I0714 00:31:47.189523       8 store.go:597] "secret was updated and it is used in ingress annotations. Parsing" secret="keycloak/keycloak-tls"
I0714 00:31:47.191335       8 backend_ssl.go:57] "Updating secret in local store" name="keycloak/keycloak-tls"
 { "@timestamp": "2022-07-14T00:33:28+00:00", "req_id": "2a3d50a729ad50c711d74178395fb8c7", "proxy_upstream_name": "cattle-system-rancher-80", "proxy_alternative_upstream_name": "", "upstream_status": "201", "upstream_addr": "10.244.0.25:80", "message": "POST rancher.default.138.3.78.28.nip.io/v3-public/localProviders/local?action=login", "http_request": { "requestMethod": "POST", "requestUrl": "rancher.default.138.3.78.28.nip.io/v3-public/localProviders/local?action=login", "status": 201, "requestSize": "276", "responseSize": "901", "userAgent": "Go-http-client/1.1", "remoteIp": "10.244.1.0", "referer": "", "latency": "0.222 s", "protocol":"HTTP/1.1" } }
 { "@timestamp": "2022-07-14T00:33:28+00:00", "req_id": "9171cea1c5124198243bb25e28009bce", "proxy_upstream_name": "cattle-system-rancher-80", "proxy_alternative_upstream_name": "", "upstream_status": "201", "upstream_addr": "10.244.0.144:80", "message": "POST rancher.default.138.3.78.28.nip.io/v3/token", "http_request": { "requestMethod": "POST", "requestUrl": "rancher.default.138.3.78.28.nip.io/v3/token", "status": 201, "requestSize": "319", "responseSize": "1004", "userAgent": "Go-http-client/1.1", "remoteIp": "10.244.1.0", "referer": "", "latency": "0.065 s", "protocol":"HTTP/1.1" } }
 { "@timestamp": "2022-07-14T00:33:28+00:00", "req_id": "fccc86022b8e02a31698c24b02c1324a", "proxy_upstream_name": "cattle-system-rancher-80", "proxy_alternative_upstream_name": "", "upstream_status": "200", "upstream_addr": "10.244.0.25:80", "message": "PUT rancher.default.138.3.78.28.nip.io/v3/settings/server-url", "http_request": { "requestMethod": "PUT", "requestUrl": "rancher.default.138.3.78.28.nip.io/v3/settings/server-url", "status": 200, "requestSize": "363", "responseSize": "266", "userAgent": "Go-http-client/1.1", "remoteIp": "10.244.1.0", "referer": "", "latency": "0.127 s", "protocol":"HTTP/1.1" } }
E0722 08:03:22.733737       8 leaderelection.go:330] error retrieving resource lock ingress-nginx/ingress-controller-leader: rpc error: code = Unavailable desc = error reading from server: read tcp 168.254.5.2:58010->168.254.5.1:2379: read: connection timed out
I0722 08:03:29.071363       8 leaderelection.go:283] failed to renew lease ingress-nginx/ingress-controller-leader: timed out waiting for the condition
I0722 08:03:29.072115       8 leaderelection.go:248] attempting to acquire leader lease ingress-nginx/ingress-controller-leader...
I0722 08:03:29.091169       8 leaderelection.go:258] successfully acquired lease ingress-nginx/ingress-controller-leader
E0723 03:20:54.956052       8 leaderelection.go:330] error retrieving resource lock ingress-nginx/ingress-controller-leader: rpc error: code = Unavailable desc = error reading from server: read tcp 168.254.5.2:51540->168.254.5.1:2379: read: connection timed out
I0723 03:21:00.956057       8 leaderelection.go:283] failed to renew lease ingress-nginx/ingress-controller-leader: timed out waiting for the condition
I0723 03:21:00.957015       8 leaderelection.go:248] attempting to acquire leader lease ingress-nginx/ingress-controller-leader...
I0723 03:21:01.127641       8 leaderelection.go:258] successfully acquired lease ingress-nginx/ingress-controller-leader
==== END logs for container controller of pod ingress-nginx/ingress-controller-ingress-nginx-controller-585d79996-9ncg7 ====
==== START logs for container istio-proxy of pod ingress-nginx/ingress-controller-ingress-nginx-controller-585d79996-9ncg7 ====
2022-07-14T00:25:41.433371Z	info	FLAG: --concurrency="2"
2022-07-14T00:25:41.433412Z	info	FLAG: --domain="ingress-nginx.svc.cluster.local"
2022-07-14T00:25:41.433429Z	info	FLAG: --help="false"
2022-07-14T00:25:41.433435Z	info	FLAG: --log_as_json="false"
2022-07-14T00:25:41.433442Z	info	FLAG: --log_caller=""
2022-07-14T00:25:41.433448Z	info	FLAG: --log_output_level="default:info"
2022-07-14T00:25:41.433455Z	info	FLAG: --log_rotate=""
2022-07-14T00:25:41.433461Z	info	FLAG: --log_rotate_max_age="30"
2022-07-14T00:25:41.433467Z	info	FLAG: --log_rotate_max_backups="1000"
2022-07-14T00:25:41.433474Z	info	FLAG: --log_rotate_max_size="104857600"
2022-07-14T00:25:41.433480Z	info	FLAG: --log_stacktrace_level="default:none"
2022-07-14T00:25:41.433494Z	info	FLAG: --log_target="[stdout]"
2022-07-14T00:25:41.433501Z	info	FLAG: --meshConfig="./etc/istio/config/mesh"
2022-07-14T00:25:41.433508Z	info	FLAG: --outlierLogPath=""
2022-07-14T00:25:41.433515Z	info	FLAG: --proxyComponentLogLevel="misc:error"
2022-07-14T00:25:41.433522Z	info	FLAG: --proxyLogLevel="warning"
2022-07-14T00:25:41.433529Z	info	FLAG: --serviceCluster="istio-proxy"
2022-07-14T00:25:41.433535Z	info	FLAG: --stsPort="0"
2022-07-14T00:25:41.433542Z	info	FLAG: --templateFile=""
2022-07-14T00:25:41.433549Z	info	FLAG: --tokenManagerPlugin="GoogleTokenExchange"
2022-07-14T00:25:41.433568Z	info	FLAG: --vklog="0"
2022-07-14T00:25:41.433577Z	info	Version 1.13.2-f84f69d1028e874d568f2942c5bab5271fcdeda7-Clean
